date;ip;lang;col;site;query;index;where;filter;from
2010-12-16 00:04:23;187.13.214.155;pt;local;bio;santarém;*;*;;1
2010-12-16 00:05:50;187.13.214.155;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-16 00:17:01;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 00:19:38;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 01:00:59;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 01:06:33;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 02:57:09;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 03:24:08;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200008");*;*;;1
2010-12-16 04:20:16;66.249.71.52;pt;local;bio;+id:("lil-9030037178");*;*;;1
2010-12-16 04:38:58;66.249.71.52;pt;local;bio;+id:("lil-18474058007");*;*;;1
2010-12-16 04:41:41;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-16 06:36:45;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 08:35:31;201.54.129.80;pt;local;bio;cavivhioli;*;*;;1
2010-12-16 08:35:39;201.54.129.80;pt;local;bio;cavichioli;*;ALL;;1
2010-12-16 08:39:59;201.54.129.80;pt;local;bio;cavichioli;*;ALL;;2
2010-12-16 09:09:37;200.144.123.33;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-16 09:35:44;187.89.7.212;pt;local;bio;primatas;*;*;;1
2010-12-16 09:39:13;200.252.135.218;pt;local;bio;*;*;*;;1
2010-12-16 09:56:12;190.232.73.88;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-16 10:30:08;66.249.71.52;pt;local;bio;+id:("lil-18474058028");*;*;;1
2010-12-16 10:47:02;66.249.71.52;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-16 11:01:36;200.19.65.34;pt;local;bio;support vector machines;*;*;;1
2010-12-16 11:01:44;200.19.65.34;pt;local;bio;support vector machine;*;ALL;;1
2010-12-16 11:05:52;187.115.109.178;pt;local;bio;lycengraulis;*;*;;1
2010-12-16 11:06:05;187.115.109.178;pt;local;bio;hoplias;*;ALL;;1
2010-12-16 11:09:59;187.115.109.178;pt;local;bio;astyanax;*;*;;1
2010-12-16 11:12:33;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-16 12:10:57;200.187.8.1;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-16 13:36:53;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 14:04:22;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 14:15:34;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:34;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:34;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:34;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:34;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:37;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:38;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:38;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:38;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:38;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:38;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:38;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 14:15:38;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 15:24:34;150.161.22.90;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-16 15:30:17;200.129.136.138;pt;local;bio;insetos polinizadores;*;*;;1
2010-12-16 15:37:27;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 15:38:42;200.145.136.141;pt;local;bio;Argiope;*;*;;1
2010-12-16 15:39:30;200.145.136.141;pt;local;bio;Argiope;*;SCIB;db:SCIB;1
2010-12-16 15:39:58;200.145.136.141;pt;local;bio;Argiope;kw;SCIB;db:SCIB;1
2010-12-16 15:48:06;66.249.71.52;pt;local;bio;*;*;*;;1
2010-12-16 15:52:15;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 15:52:51;200.129.136.138;pt;local;bio;palmeiras de tucumã;*;ALL;;1
2010-12-16 15:52:52;200.129.136.138;pt;local;bio;palmeiras de tucumã;*;ALL;;1
2010-12-16 15:53:06;200.129.136.138;pt;local;bio;palmeiras;*;ALL;;1
2010-12-16 15:59:07;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:08:06;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:08:07;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:08:13;200.129.136.138;pt;local;bio; Polinização;*;ALL;;1
2010-12-16 16:08:13;200.129.136.138;pt;local;bio; Polinização;*;ALL;;1
2010-12-16 16:09:04;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:11:25;200.129.136.138;pt;local;bio;*;*;*;;1
2010-12-16 16:12:16;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:12:16;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:13:04;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:13:05;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:14:33;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:14:33;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:15:10;200.129.136.138;pt;local;bio;Polinização;*;ALL;;1
2010-12-16 16:19:43;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:30:06;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:30:07;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:30:58;66.249.71.52;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-16 16:36:06;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:37:51;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:41:31;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:41:34;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:41:40;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:42:48;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:43:26;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 16:45:41;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-16 17:42:33;66.249.71.52;pt;local;bio;*;*;*;;1
2010-12-16 18:19:35;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:35;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:35;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:35;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:36;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:36;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:38;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:39;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:39;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:41;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:44;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:44;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 18:19:49;88.54.195.178;pt;local;bio;*;*;*;;1
2010-12-16 19:40:07;66.249.71.52;pt;local;bio;*;*;*;;1
2010-12-16 23:02:19;187.115.9.30;pt;local;bio;croton;*;*;;1
2010-12-16 23:02:22;187.115.9.30;pt;local;bio;croton;*;*;;1
2010-12-16 23:02:56;187.115.9.30;pt;local;bio;croton;*;ALL;;2
2010-12-16 23:03:16;187.115.9.30;pt;local;bio;croton;*;ALL;;3
