date;ip;lang;col;site;query;index;where;filter;from
2010-12-11 02:26:30;189.66.81.218;pt;local;bio;recifes de coral;*;*;;1
2010-12-11 02:26:30;189.66.81.218;pt;local;bio;recifes de coral;*;*;;1
2010-12-11 02:39:36;189.26.242.71;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 02:57:37;189.66.81.218;pt;local;bio;peixes recifais;*;ALL;;1
2010-12-11 02:57:46;189.66.81.218;pt;local;bio;peixes recifais;*;ALL;;1
2010-12-11 05:57:05;200.160.7.141;pt;local;bio;*;*;*;;1
2010-12-11 05:57:50;200.160.7.141;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 05:58:15;200.160.7.141;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 05:58:46;200.160.7.141;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-11 06:46:01;189.27.60.211;pt;local;bio;Plantas medicinais;*;*;;1
2010-12-11 07:38:12;66.249.71.37;pt;local;bio;+id:("scl-S0074-02761909000100001");*;*;;1
2010-12-11 07:54:39;200.160.7.141;pt;local;bio;*;*;*;;1
2010-12-11 07:55:17;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:55:56;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:56:18;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:56:37;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:56:56;200.160.7.141;pt;local;bio;*;*;*;;1
2010-12-11 07:57:20;200.160.7.141;pt;local;bio;*;*;*;;1
2010-12-11 07:57:49;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:58:09;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:58:24;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:58:41;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:58:53;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:59:03;200.160.7.141;pt;local;bio;*;*;*;;1
2010-12-11 07:59:14;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:59:29;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:59:43;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 07:59:54;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:00:02;200.160.7.141;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 08:00:09;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:00:17;200.160.7.141;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 08:00:22;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:00:26;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:00:33;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:00:38;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:00:49;200.160.7.141;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 08:01:01;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:01:07;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:01:24;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:01:27;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:01:37;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:01:41;200.160.7.141;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 08:01:45;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:01:47;200.160.7.141;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-11 08:01:53;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:01:54;200.160.7.141;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-11 08:01:57;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:02:04;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:02:14;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:02:24;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 08:02:29;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-11 09:34:16;187.39.223.225;pt;local;bio;butantan;*;*;;1
2010-12-11 09:40:24;187.39.223.225;pt;local;bio;serpentes;*;ALL;;1
2010-12-11 09:43:14;187.39.223.225;pt;local;bio;serpentes;*;ALL;;2
2010-12-11 09:44:18;187.39.223.225;pt;local;bio;serpentes;*;ALL;;3
2010-12-11 09:52:26;200.160.7.141;pt;local;bio;+id:("lil-9030037224");*;*;;1
2010-12-11 09:52:53;200.160.7.141;pt;local;bio;+id:("lil-9030037224");*;*;;1
2010-12-11 09:53:14;200.160.7.141;pt;local;bio;+id:("lil-9030037111");*;*;;1
2010-12-11 09:53:31;200.160.7.141;pt;local;bio;+id:("lil-9030037197");*;*;;1
2010-12-11 09:53:48;200.160.7.141;pt;local;bio;+id:("lil-9030037232");*;*;;1
2010-12-11 09:54:05;200.160.7.141;pt;local;bio;+id:("lil-9030037220");*;*;;1
2010-12-11 09:54:20;200.160.7.141;pt;local;bio;+id:("lil-9030037220");*;*;;1
2010-12-11 09:54:34;200.160.7.141;pt;local;bio;+id:("lil-9030037178");*;*;;1
2010-12-11 09:54:47;200.160.7.141;pt;local;bio;+id:("lil-3551021638");*;*;;1
2010-12-11 09:54:59;200.160.7.141;pt;local;bio;+id:("lil-9030037111");*;*;;1
2010-12-11 09:55:12;200.160.7.141;pt;local;bio;+id:("lil-13264049979");*;*;;1
2010-12-11 09:55:20;200.160.7.141;pt;local;bio;+id:("lil-3551021638");*;*;;1
2010-12-11 09:55:28;200.160.7.141;pt;local;bio;+id:("lil-9030037178");*;*;;1
2010-12-11 09:55:36;200.160.7.141;pt;local;bio;+id:("lil-13264049979");*;*;;1
2010-12-11 09:55:43;200.160.7.141;pt;local;bio;+id:("lil-9030037197");*;*;;1
2010-12-11 09:55:48;200.160.7.141;pt;local;bio;+id:("lil-9030037232");*;*;;1
2010-12-11 09:55:55;200.160.7.141;pt;local;bio;+id:("lil-9030037195");*;*;;1
2010-12-11 09:56:00;200.160.7.141;pt;local;bio;+id:("lil-13264049879");*;*;;1
2010-12-11 09:56:04;200.160.7.141;pt;local;bio;+id:("lil-13264049879");*;*;;1
2010-12-11 09:56:08;200.160.7.141;pt;local;bio;+id:("lil-9030037195");*;*;;1
2010-12-11 09:56:13;200.160.7.141;pt;local;bio;+id:("lil-18474058007");*;*;;1
2010-12-11 09:56:16;200.160.7.141;pt;local;bio;+id:("lil-18474058040");*;*;;1
2010-12-11 09:56:18;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200001");*;*;;1
2010-12-11 09:56:21;200.160.7.141;pt;local;bio;+id:("lil-18474058070");*;*;;1
2010-12-11 09:56:24;200.160.7.141;pt;local;bio;+id:("lil-41471091512");*;*;;1
2010-12-11 09:56:27;200.160.7.141;pt;local;bio;+id:("lil-43067093999");*;*;;1
2010-12-11 09:56:29;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200003");*;*;;1
2010-12-11 09:56:30;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200002");*;*;;1
2010-12-11 09:56:32;200.160.7.141;pt;local;bio;+id:("lil-18474058058");*;*;;1
2010-12-11 09:56:34;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000100002");*;*;;1
2010-12-11 09:56:36;200.160.7.141;pt;local;bio;+id:("lil-18474058072");*;*;;1
2010-12-11 09:56:38;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200001");*;*;;1
2010-12-11 09:56:46;200.160.7.141;pt;local;bio;+id:("lil-43067093999");*;*;;1
2010-12-11 09:56:48;200.160.7.141;pt;local;bio;+id:("lil-18474058070");*;*;;1
2010-12-11 09:56:50;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000100002");*;*;;1
2010-12-11 09:56:52;200.160.7.141;pt;local;bio;+id:("lil-18474058007");*;*;;1
2010-12-11 09:56:54;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200005");*;*;;1
2010-12-11 09:56:56;200.160.7.141;pt;local;bio;+id:("lil-18474058028");*;*;;1
2010-12-11 09:56:58;200.160.7.141;pt;local;bio;+id:("lil-18474058028");*;*;;1
2010-12-11 09:57:00;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200002");*;*;;1
2010-12-11 09:57:02;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200008");*;*;;1
2010-12-11 09:57:04;200.160.7.141;pt;local;bio;+id:("lil-20986061024");*;*;;1
2010-12-11 09:57:06;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200004");*;*;;1
2010-12-11 09:57:08;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200008");*;*;;1
2010-12-11 09:57:14;200.160.7.141;pt;local;bio;+id:("lil-41471091512");*;*;;1
2010-12-11 09:57:16;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000100001");*;*;;1
2010-12-11 09:57:18;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000100001");*;*;;1
2010-12-11 09:57:20;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200004");*;*;;1
2010-12-11 09:57:23;200.160.7.141;pt;local;bio;+id:("lil-18474058040");*;*;;1
2010-12-11 09:57:24;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200006");*;*;;1
2010-12-11 09:57:26;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200003");*;*;;1
2010-12-11 09:57:28;200.160.7.141;pt;local;bio;+id:("lil-18474058058");*;*;;1
2010-12-11 09:57:30;200.160.7.141;pt;local;bio;+id:("lil-18474058072");*;*;;1
2010-12-11 09:57:35;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200006");*;*;;1
2010-12-11 09:57:37;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200005");*;*;;1
2010-12-11 09:57:39;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200007");*;*;;1
2010-12-11 09:57:41;200.160.7.141;pt;local;bio;+id:("lil-18474058088");*;*;;1
2010-12-11 09:57:44;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200007");*;*;;1
2010-12-11 09:57:46;200.160.7.141;pt;local;bio;+id:("lil-18474058088");*;*;;1
2010-12-11 09:57:48;189.73.248.6;pt;local;bio;MS;*;*;;1
2010-12-11 09:57:48;200.160.7.141;pt;local;bio;+id:("lil-20986061024");*;*;;1
2010-12-11 09:58:24;189.73.248.6;pt;local;bio;Mato GRosso do Sul;*;ALL;;1
2010-12-11 09:59:19;189.73.248.6;pt;local;bio;Mato GRosso do Sul;*;ALL;;2
2010-12-11 09:59:33;189.73.248.6;pt;local;bio;Simone Mamede;*;ALL;;1
2010-12-11 09:59:33;189.73.248.6;pt;local;bio;Simone Mamede;*;ALL;;1
2010-12-11 09:59:43;189.73.248.6;pt;local;bio;Mamíferos;*;ALL;;1
2010-12-11 09:59:43;189.73.248.6;pt;local;bio;Mamíferos;*;ALL;;1
2010-12-11 09:59:50;189.73.248.6;pt;local;bio;Mamíferos;*;ALL;;1
2010-12-11 10:00:08;189.73.248.6;pt;local;bio;mam[iferos;*;*;;1
2010-12-11 10:00:21;189.73.248.6;pt;local;bio;mamallia;*;*;;1
2010-12-11 10:00:30;189.73.248.6;pt;local;bio;mamíferos;*;*;;1
2010-12-11 10:00:44;189.73.248.6;pt;local;bio;mastofauna;*;*;;1
2010-12-11 11:13:26;189.26.242.71;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 11:22:40;66.249.71.37;pt;local;bio;+id:("lil-43067093999");*;*;;1
2010-12-11 11:24:17;189.59.42.165;pt;local;bio;herbário;*;*;;1
2010-12-11 12:35:15;187.32.91.57;pt;local;bio;interação fauna flora;*;*;;1
2010-12-11 12:36:43;187.32.91.57;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 12:45:15;201.42.30.37;pt;local;bio;conservação;*;*;;1
2010-12-11 12:45:26;201.42.30.37;pt;local;bio;conservação;*;ALL;;1
2010-12-11 13:59:39;189.110.152.17;pt;local;bio;fauna;*;*;;1
2010-12-11 13:59:49;189.110.152.17;pt;local;bio;fauna;*;ALL;ta_cluster:"Rev. Bras. Zool.";1
2010-12-11 14:53:53;187.64.33.23;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 14:54:21;187.64.33.23;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 15:05:17;189.67.177.216;pt;local;bio;savanna;*;*;;1
2010-12-11 15:06:01;189.67.177.216;pt;local;bio;savanna;*;ALL;;2
2010-12-11 15:07:35;189.67.177.216;pt;local;bio;savanna;*;ALL;;3
2010-12-11 15:08:13;189.67.177.216;pt;local;bio;savanna;*;ALL;;4
2010-12-11 15:08:54;189.67.177.216;pt;local;bio;savanna;*;ALL;;5
2010-12-11 15:09:19;189.67.177.216;pt;local;bio;savanna;*;ALL;;6
2010-12-11 15:09:49;189.67.177.216;pt;local;bio;savanna;*;ALL;;7
2010-12-11 15:10:52;189.67.177.216;pt;local;bio;savanna;*;ALL;;8
2010-12-11 15:11:38;189.67.177.216;pt;local;bio;savanna;*;ALL;;9
2010-12-11 15:12:30;189.67.177.216;pt;local;bio;cerrado;*;ALL;;1
2010-12-11 15:13:00;189.67.177.216;pt;local;bio;cerrado;*;ALL;;2
2010-12-11 15:14:22;189.67.177.216;pt;local;bio;cerrado;*;ALL;;3
2010-12-11 15:20:06;189.67.177.216;pt;local;bio;cerrado;*;ALL;;4
2010-12-11 15:20:32;189.67.177.216;pt;local;bio;bourliere;*;*;;1
2010-12-11 15:21:25;189.67.177.216;pt;local;bio;ecossistems of the world;*;ALL;;1
2010-12-11 15:21:37;189.67.177.216;pt;local;bio;ecossistems;*;ALL;;1
2010-12-11 15:21:56;189.67.177.216;pt;local;bio;tropical savannas;*;ALL;;1
2010-12-11 15:22:03;189.67.177.216;pt;local;bio;cerrado;*;ALL;;5
2010-12-11 15:22:26;189.67.177.216;pt;local;bio;cerrado;*;ALL;;1
2010-12-11 15:23:46;189.67.177.216;pt;local;bio;cerrado;*;ALL;;1
2010-12-11 15:24:00;189.67.177.216;pt;local;bio;cerrado;*;ALL;year_cluster:"1963";1
2010-12-11 15:24:23;189.67.177.216;pt;local;bio;cerrado;*;ALL;year_cluster:"1962";1
2010-12-11 15:24:41;189.67.177.216;pt;local;bio;cerrado;*;ALL;year_cluster:"1948";1
2010-12-11 15:25:07;189.67.177.216;pt;local;bio;cerrado;*;ALL;year_cluster:"1946";1
2010-12-11 15:47:41;66.249.71.37;pt;local;bio;+id:("lil-9030037224");*;*;;1
2010-12-11 15:59:06;66.249.71.37;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 15:59:13;189.26.242.71;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 16:13:31;66.249.71.37;pt;local;bio;*;*;*;;1
2010-12-11 16:14:15;66.249.71.37;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 16:24:43;66.249.71.37;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 16:52:54;187.39.220.131;pt;local;bio;serpentes;*;*;;1
2010-12-11 16:53:18;187.39.220.131;pt;local;bio;serpentes;*;ALL;;2
2010-12-11 16:53:56;187.39.220.131;pt;local;bio;serpentes;*;ALL;;3
2010-12-11 16:54:30;187.39.220.131;pt;local;bio;serpentes;*;ALL;;4
2010-12-11 17:05:27;187.39.220.131;pt;local;bio;serpentes;*;ALL;;1
2010-12-11 17:05:39;187.39.220.131;pt;local;bio;jararaca;*;ALL;;1
2010-12-11 17:09:00;187.39.220.131;pt;local;bio;jararaca;*;ALL;;2
2010-12-11 17:09:22;187.39.220.131;pt;local;bio;insularis;*;ALL;;1
2010-12-11 17:09:37;187.39.220.131;pt;local;bio;insularis ilhoa;*;ALL;;1
2010-12-11 17:09:41;187.39.220.131;pt;local;bio;ilhoa;*;ALL;;1
2010-12-11 17:09:48;187.39.220.131;pt;local;bio;jararaca ilhoa;*;ALL;;1
2010-12-11 17:09:56;187.39.220.131;pt;local;bio;lachesis;*;ALL;;1
2010-12-11 17:46:08;186.196.89.248;pt;local;bio;direito e biodiversidade;*;*;;1
2010-12-11 17:55:36;66.249.71.37;pt;local;bio;+id:("lil-9030037195");*;*;;1
2010-12-11 19:44:39;187.78.141.212;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-11 19:44:39;187.78.141.212;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 19:44:39;187.78.141.212;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 20:06:13;66.249.71.37;pt;local;bio;+id:("scl-S0074-02761909000200005");*;*;;1
2010-12-11 20:42:06;187.40.223.57;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 21:27:02;187.78.141.212;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-11 21:27:02;187.78.141.212;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 21:27:02;187.78.141.212;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-11 21:36:29;187.64.11.11;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-11 21:39:12;187.78.191.134;pt;local;bio;noronha pdf;*;*;;1
