date;ip;lang;col;site;query;index;where;filter;from
2011-02-13 00:22:01;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-13 02:02:27;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-13 03:04:11;66.249.71.52;pt;local;bio;*;*;*;;1
2011-02-13 04:00:29;187.79.11.135;pt;local;bio;propriedade intelectual;*;*;;1
2011-02-13 04:00:56;187.79.11.135;pt;local;bio;intelectual;*;ALL;;1
2011-02-13 04:10:25;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-13 05:14:54;189.93.131.94;pt;local;bio;coco;*;*;;1
2011-02-13 05:15:46;189.93.131.94;pt;local;bio;cocos nucifera;*;ALL;;1
2011-02-13 05:16:15;189.93.131.94;pt;local;bio;preá;*;ALL;;1
2011-02-13 05:16:16;189.93.131.94;pt;local;bio;preá;*;ALL;;1
2011-02-13 05:16:22;189.93.131.94;pt;local;bio;preá;*;ALL;;1
2011-02-13 05:24:21;66.249.71.52;pt;local;bio;+id:("lil-9030037111");*;*;;1
2011-02-13 05:42:21;66.249.71.52;pt;local;bio;+id:("lil-9030037224");*;*;;1
2011-02-13 05:45:15;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-13 06:17:53;66.249.71.52;pt;local;bio;+id:("lil-9030037220");*;*;;1
2011-02-13 07:12:38;66.249.71.52;pt;local;bio;+id:("lil-13264049979");*;*;;1
2011-02-13 07:20:22;66.249.71.52;pt;local;bio;+id:("lil-18474058058");*;*;;1
2011-02-13 07:45:58;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-13 08:13:33;66.249.71.52;pt;local;bio;+id:("lil-9030037197");*;*;;1
2011-02-13 09:52:12;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-13 09:56:45;66.249.71.52;pt;local;bio;+id:("lil-9030037197");*;*;;1
2011-02-13 11:55:49;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-13 13:35:12;66.249.71.52;pt;local;bio;+id:("lil-18474058088");*;*;;1
2011-02-13 13:57:16;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-13 15:39:06;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-13 16:05:17;59.92.119.245;en;local;bio;insects of Australia;*;*;;1
2011-02-13 16:05:44;59.92.119.245;en;local;bio;insects of Australia;*;ALL;;1
2011-02-13 16:45:12;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000100001");*;*;;1
2011-02-13 17:44:04;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-13 18:31:15;187.92.169.54;pt;local;bio;mata atlalntica;*;*;;1
2011-02-13 18:31:49;187.92.169.54;pt;local;bio;mata atlantica;*;ALL;;1
2011-02-13 18:31:49;187.92.169.54;pt;local;bio;mata atlantica;*;ALL;;1
2011-02-13 18:32:05;187.92.169.54;pt;local;bio;pau brasil;*;ALL;;1
2011-02-13 18:32:21;187.92.169.54;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-02-13 18:32:36;187.92.169.54;pt;local;bio;pau brasil;*;SCIB;db:SCIB;1
2011-02-13 18:32:42;187.92.169.54;pt;local;bio;pau brasil;*;ALL;;1
2011-02-13 18:33:31;187.92.169.54;pt;local;bio;biodiversidade;*;*;;1
2011-02-13 18:55:30;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200002");*;*;;1
2011-02-13 19:06:56;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000100002");*;*;;1
2011-02-13 19:26:30;201.9.13.127;pt;local;bio;apis mellifera;*;*;;1
2011-02-13 19:28:53;201.50.22.107;pt;local;bio;diodella;*;*;;1
2011-02-13 19:30:15;201.9.13.127;pt;local;bio;mel;*;*;;1
2011-02-13 19:31:56;201.9.13.127;pt;local;bio;primatas ateles;*;ALL;;1
2011-02-13 19:36:55;201.9.13.127;pt;local;bio;abelha;*;*;;1
2011-02-13 19:48:28;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-13 20:15:31;189.18.103.98;pt;local;bio;biodiversidade;*;*;;1
2011-02-13 20:40:35;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000100001");*;*;;1
2011-02-13 21:00:44;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200006");*;*;;1
2011-02-13 21:26:14;187.68.70.46;pt;local;bio;nutrição;*;*;;1
2011-02-13 21:55:32;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-13 22:45:11;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200003");*;*;;1
2011-02-13 23:02:16;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200005");*;*;;1
2011-02-13 23:02:39;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200001");*;*;;1
2011-02-13 23:17:15;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000100002");*;*;;1
