date;ip;lang;col;site;query;index;where;filter;from
2011-05-28 00:08:42;66.249.72.241;ppufejihenzxjri;local;bio;*;*;*;;1
2011-05-28 01:04:24;209.131.41.49;pt;local;bio;*;*;*;;1
2011-05-28 01:21:02;66.249.72.241;pt;local;bio;*;*;*;;1
2011-05-28 04:20:57;209.131.41.49;pt;local;bio;*;*;*;;1
2011-05-28 06:22:28;201.38.225.131;pt;local;bio;*;*;*;;1
2011-05-28 06:22:28;201.38.225.131;pt;local;bio;*;*;*;;1
2011-05-28 06:22:29;201.38.225.131;pt;local;bio;*;*;*;;1
2011-05-28 06:22:29;201.38.225.131;pt;local;bio;*;*;*;;1
2011-05-28 07:26:12;209.131.41.49;pt;local;bio;*;*;*;;1
2011-05-28 08:39:05;193.137.1.102;pt;local;bio;aves;*;*;;1
2011-05-28 09:54:23;66.249.72.241;ppufejihenzxjri;local;bio;*;*;*;;1
2011-05-28 10:28:01;209.131.41.49;pt;local;bio;*;*;*;;1
2011-05-28 12:05:35;187.60.35.234;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-05-28 12:07:04;187.60.35.234;pt;local;bio;*;*;SCIB;db:SCIB;2
2011-05-28 12:07:44;187.60.35.234;pt;local;bio;*;*;SCIB;db:SCIB;3
2011-05-28 13:29:59;209.131.41.48;pt;local;bio;*;*;*;;1
2011-05-28 15:14:38;72.44.49.22;pt;local;bio;*;*;*;;1
2011-05-28 16:38:42;209.131.41.49;pt;local;bio;*;*;*;;1
2011-05-28 17:45:16;157.92.44.71;pt;local;bio;*;*;*;;1
2011-05-28 17:45:18;157.92.44.72;pt;local;bio;*;*;*;;1
2011-05-28 17:45:19;157.92.44.71;pt;local;bio;*;*;*;;1
2011-05-28 17:47:29;157.92.44.71;pt;local;bio;*;*;*;;1
2011-05-28 17:47:29;157.92.44.71;pt;local;bio;*;*;*;;1
2011-05-28 17:49:34;157.92.44.71;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:00;157.92.44.71;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:15;157.92.44.71;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:24;157.92.44.72;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:28;157.92.44.72;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:33;157.92.44.71;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:39;157.92.44.72;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:44;157.92.44.71;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:55;157.92.44.71;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 17:50:58;157.92.44.71;pt;local;bio;Sua seleção;*;*;;1
2011-05-28 19:41:42;209.131.41.49;pt;local;bio;*;*;*;;1
2011-05-28 20:14:24;66.249.72.241;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-05-28 20:42:23;190.41.125.152;pt;local;bio; PRINCIPIOS   CAMBIOS  FISIOLÓGICOS   PATOLÓGICOS  DEL  DIENTE;*;*;;1
2011-05-28 20:45:58;190.41.125.152;pt;local;bio; PRINCIPIOS   CAMBIOS  FISIOLÓGICOS   PATOLÓGICOS  DEL  DIENTE;*;*;;1
2011-05-28 20:52:06;66.249.72.241;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-05-28 21:38:01;66.249.72.241;xfdblysxhm;local;bio;*;*;*;;1
2011-05-28 21:49:05;187.42.49.100;pt;local;bio;cultura de células;*;*;;1
2011-05-28 22:09:04;66.249.72.241;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-05-28 22:44:41;209.131.41.48;pt;local;bio;*;*;*;;1
