date;ip;lang;col;site;query;index;where;filter;from
2011-06-17 03:49:15;209.131.41.49;pt;local;bio;*;*;*;;1
2011-06-17 05:26:56;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-17 05:27:00;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-17 05:27:06;157.92.44.72;pt;local;bio;*;*;*;;1
2011-06-17 05:27:12;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-17 07:12:49;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-17 07:13:03;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-17 07:13:03;157.92.44.72;pt;local;bio;*;*;*;;1
2011-06-17 07:13:21;157.92.44.72;pt;local;bio;*;*;*;;1
2011-06-17 08:01:08;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-17 08:30:39;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-17 08:30:42;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-17 08:39:21;66.249.71.34;xfdblysxhm;local;bio;*;*;*;;1
2011-06-17 09:42:52;200.17.203.28;pt;local;bio;espécies invasoras;*;*;;1
2011-06-17 09:43:14;200.17.203.28;pt;local;bio;espécies invasoras;*;*;;1
2011-06-17 09:43:25;200.17.203.28;pt;local;bio;bioinvasões;*;ALL;;1
2011-06-17 09:43:25;200.17.203.28;pt;local;bio;bioinvasões;*;ALL;;1
2011-06-17 09:43:34;200.17.203.28;pt;local;bio;bioinvasões;*;ALL;;1
2011-06-17 09:49:52;66.249.71.34;xfdblysxhm;local;bio;*;*;*;;1
2011-06-17 12:07:41;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-17 12:51:30;201.67.126.219;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-06-17 13:16:42;207.46.204.231;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-17 15:52:00;200.96.187.2;pt;local;bio;dinomys branickii;*;*;;1
2011-06-17 16:11:01;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-17 17:38:11;201.80.227.142;pt;local;bio;"banco dedos";*;*;;1
2011-06-17 17:38:24;201.80.227.142;pt;local;bio;"banco de dados";*;ALL;;1
2011-06-17 17:38:41;201.80.227.142;pt;local;bio;"banco de dados";*;ALL;;2
2011-06-17 17:39:19;201.80.227.142;pt;local;bio;"banco de dados";*;ALL;;3
2011-06-17 17:39:38;201.80.227.142;pt;local;bio;database;*;ALL;;1
2011-06-17 17:39:47;201.80.227.142;pt;local;bio;database braziil;*;ALL;;1
2011-06-17 17:39:51;201.80.227.142;pt;local;bio;database;*;ALL;;1
2011-06-17 17:40:12;201.80.227.142;pt;local;bio;database;*;ALL;year_cluster:"2010";1
2011-06-17 17:40:35;201.80.227.142;pt;local;bio;database;*;ALL;year_cluster:"2009";1
2011-06-17 17:41:56;201.80.227.142;pt;local;bio;database;*;ALL;ta_cluster:"Rev. Bras. Zool.";1
2011-06-17 17:42:02;201.80.227.142;pt;local;bio;database;*;ALL;ta_cluster:"Rev. Bras. Zool." AND ta_cluster:"Rev. Bras. Zool.";1
2011-06-17 18:47:18;200.136.72.254;pt;local;bio;*;*;*;;1
2011-06-17 20:21:40;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-17 23:23:25;174.136.26.114;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-17 23:27:12;66.249.72.116;pt;local;bio;Sua seleção;*;*;;1
