date;ip;lang;col;site;query;index;where;filter;from
2011-01-03 06:39:29;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200004");*;*;;1
2011-01-03 07:14:20;189.126.18.62;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-01-03 07:14:20;189.126.18.62;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-01-03 07:14:24;189.126.18.62;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-01-03 07:19:59;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200007");*;*;;1
2011-01-03 08:13:40;200.202.168.1;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-01-03 08:14:32;200.202.168.1;pt;local;bio;1823;*;BHLB;db:BHLB;1
2011-01-03 08:14:32;200.202.168.1;pt;local;bio;1823;*;BHLB;db:BHLB;1
2011-01-03 08:49:43;200.202.168.1;pt;local;bio;capsicum;*;*;;1
2011-01-03 08:50:34;200.202.168.1;pt;local;bio;pimenta;*;ALL;;1
2011-01-03 08:51:11;200.202.168.1;pt;local;bio;pimenta;*;ALL;;2
2011-01-03 08:51:32;200.202.168.1;pt;local;bio;pimenta;*;ALL;;3
2011-01-03 08:51:53;200.202.168.1;pt;local;bio;pimenta;*;ALL;;4
2011-01-03 08:52:13;200.202.168.1;pt;local;bio;pimenta;*;BHLB;db:BHLB;1
2011-01-03 08:55:46;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-01-03 08:56:07;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;2
2011-01-03 08:56:16;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;3
2011-01-03 08:56:28;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;4
2011-01-03 08:56:42;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;5
2011-01-03 08:56:55;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;6
2011-01-03 08:57:05;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;7
2011-01-03 08:57:14;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;8
2011-01-03 08:57:27;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;9
2011-01-03 08:57:45;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;10
2011-01-03 08:57:58;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;11
2011-01-03 08:58:12;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;12
2011-01-03 08:58:29;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;13
2011-01-03 08:58:40;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;14
2011-01-03 08:58:57;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;15
2011-01-03 08:59:07;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;16
2011-01-03 08:59:16;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;17
2011-01-03 08:59:29;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;18
2011-01-03 08:59:39;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;19
2011-01-03 08:59:55;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;20
2011-01-03 09:00:11;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;21
2011-01-03 09:00:26;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;22
2011-01-03 09:00:43;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;23
2011-01-03 09:00:59;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;24
2011-01-03 09:01:13;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;25
2011-01-03 09:01:55;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;26
2011-01-03 09:02:12;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;27
2011-01-03 09:02:40;189.11.22.68;pt;local;bio;*;*;BHLB;db:BHLB;28
2011-01-03 09:27:23;200.198.196.129;pt;local;bio;usteri;*;*;;1
2011-01-03 09:29:32;200.198.196.129;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-01-03 09:30:38;200.198.196.129;pt;local;bio;epifitas;*;*;;1
2011-01-03 09:31:33;200.198.196.129;pt;local;bio;epifitas;*;ALL;;2
2011-01-03 09:32:03;200.198.196.129;pt;local;bio;epifitas;*;ALL;;3
2011-01-03 10:01:48;200.144.14.210;pt;local;bio;araucária;*;*;;1
2011-01-03 10:02:01;200.144.14.210;pt;local;bio;araucaria;*;ALL;;1
2011-01-03 10:02:31;200.144.14.210;pt;local;bio;araucaria;*;ALL;;2
2011-01-03 10:03:06;200.144.14.210;pt;local;bio;araucaria;*;ALL;;3
2011-01-03 10:04:13;200.144.14.210;pt;local;bio;araucaria;*;ALL;;4
2011-01-03 10:04:55;200.144.14.210;pt;local;bio;araucaria;*;ALL;;5
2011-01-03 10:06:49;200.144.14.210;pt;local;bio;araucaria;*;ALL;;6
2011-01-03 10:07:38;200.144.14.210;pt;local;bio;araucaria;*;ALL;;7
2011-01-03 10:08:07;200.144.14.210;pt;local;bio;araucaria;*;ALL;;8
2011-01-03 10:08:45;200.144.14.210;pt;local;bio;Sua seleção;*;ALL;;1
2011-01-03 10:38:44;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-01-03 11:31:38;187.53.53.85;pt;local;bio;*;*;*;;1
2011-01-03 11:32:06;187.53.53.85;pt;local;bio;*;*;*;;1
2011-01-03 11:38:31;66.249.71.52;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-01-03 11:48:55;200.129.167.99;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-01-03 12:05:58;200.129.167.99;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-01-03 12:17:53;186.206.2.223;pt;local;bio;maack;*;*;;1
2011-01-03 12:18:12;186.206.2.223;pt;local;bio;noroeste paraná;*;ALL;;1
2011-01-03 12:19:33;186.206.2.223;pt;local;bio;caiuá;*;ALL;;1
2011-01-03 12:19:52;186.206.2.223;pt;local;bio;diabo;*;ALL;;1
2011-01-03 12:20:20;186.206.2.223;pt;local;bio;terceiro planalto ;*;ALL;;1
2011-01-03 12:22:07;186.206.2.223;pt;local;bio;goetzke;*;ALL;;1
2011-01-03 13:12:47;66.249.71.52;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-01-03 13:36:55;66.249.71.52;pt;local;bio;*;*;*;;1
2011-01-03 13:48:42;66.249.71.52;pt;local;bio;*;*;*;;1
2011-01-03 14:08:42;200.136.241.204;pt;local;bio;mata atlantica;*;*;;1
2011-01-03 15:15:07;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-01-03 15:18:20;200.174.182.82;pt;local;bio;serpentes;*;*;;1
2011-01-03 15:19:11;200.174.182.82;pt;local;bio;serpentes;*;ALL;;2
2011-01-03 15:20:09;200.174.182.82;pt;local;bio;serpentes;*;ALL;;3
2011-01-03 15:21:16;200.174.182.82;pt;local;bio;serpentes;*;ALL;;4
2011-01-03 15:21:29;200.174.182.82;pt;local;bio;taxocenose;*;ALL;;1
2011-01-03 15:22:00;200.174.182.82;pt;local;bio;taxocenose;*;ALL;;2
2011-01-03 15:24:50;200.174.182.82;pt;local;bio;fatores bióticos e abióticos;*;ALL;;1
2011-01-03 15:24:56;200.174.182.82;pt;local;bio;fatores bióticos;*;ALL;;1
2011-01-03 15:25:05;200.174.182.82;pt;local;bio;fatores abióticos;*;ALL;;1
2011-01-03 15:25:09;200.174.182.82;pt;local;bio;abióticos;*;ALL;;1
2011-01-03 15:25:15;200.174.182.82;pt;local;bio;bióticos;*;ALL;;1
2011-01-03 15:28:17;66.249.71.52;pt;local;bio;*;*;*;;1
2011-01-03 15:33:54;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200005");*;*;;1
2011-01-03 15:39:58;66.249.71.52;pt;local;bio;+id:("scl-S0074-02761909000200002");*;*;;1
2011-01-03 16:40:52;200.174.182.82;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-01-03 16:42:10;200.174.182.82;pt;local;bio;ecologia;*;SCIB;db:SCIB;1
2011-01-03 16:43:09;200.174.182.82;pt;local;bio;ecologia;*;SCIB;db:SCIB;2
2011-01-03 16:44:36;200.174.182.82;pt;local;bio;ecologia;*;SCIB;db:SCIB;3
2011-01-03 16:49:34;189.102.228.113;pt;local;bio;traqueobroncomalacia;*;*;;1
