date;ip;lang;col;site;query;index;where;filter;from
2011-06-03 00:23:26;209.131.41.49;pt;local;bio;*;*;*;;1
2011-06-03 03:26:06;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-03 05:08:08;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-03 05:08:12;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-03 05:08:13;157.92.44.72;pt;local;bio;*;*;*;;1
2011-06-03 05:08:13;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-03 05:38:08;66.249.71.37;pt;local;bio;+id:("scl-S0074-02761909000200008");*;*;;1
2011-06-03 05:38:12;66.249.71.37;pt;local;bio;+id:("scl-S0074-02761909000200004");*;*;;1
2011-06-03 05:38:17;66.249.71.37;pt;local;bio;+id:("lil-18474058088");*;*;;1
2011-06-03 05:38:20;66.249.71.37;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-03 05:38:27;66.249.71.37;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-06-03 05:42:02;157.92.44.72;pt;local;bio;*;*;*;;1
2011-06-03 05:42:11;157.92.44.72;pt;local;bio;*;*;*;;1
2011-06-03 05:42:11;157.92.44.72;pt;local;bio;*;*;*;;1
2011-06-03 05:42:12;157.92.44.71;pt;local;bio;*;*;*;;1
2011-06-03 06:05:44;66.249.71.37;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-06-03 07:01:25;66.249.71.37;pt;local;bio;*;*;*;;1
2011-06-03 07:09:58;66.249.71.37;pt;local;bio;*;*;*;;1
2011-06-03 07:32:58;209.131.41.49;pt;local;bio;*;*;*;;1
2011-06-03 07:33:47;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:33:49;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:34:05;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:34:07;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:34:23;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:34:26;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:34:43;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:34:47;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:35:05;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:35:23;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:35:26;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:36:02;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:36:07;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:36:28;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:36:45;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:36:48;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:37:08;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:37:56;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:53:27;66.249.71.37;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-03 07:55:26;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:56:13;66.249.71.37;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-03 07:56:17;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:57:39;66.249.71.37;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-06-03 07:58:09;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 07:58:56;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 08:16:04;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 08:17:48;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-03 09:41:20;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-03 09:41:26;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-03 10:27:00;201.35.113.138;pt;local;bio;litotripsia;*;*;;1
2011-06-03 10:27:13;201.35.113.138;pt;local;bio;litiase;*;*;;1
2011-06-03 10:27:26;201.35.113.138;pt;local;bio;metodo de litotripsia;*;*;;1
2011-06-03 11:54:19;75.101.216.231;pt;local;bio;*;*;*;;1
2011-06-03 11:54:39;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-03 13:43:00;200.136.72.254;pt;local;bio;*;*;*;;1
2011-06-03 13:47:17;200.136.72.254;pt;local;bio;*;*;*;;1
2011-06-03 13:47:38;200.136.72.254;pt;local;bio;*;*;*;;1
2011-06-03 13:50:20;200.136.72.254;pt;local;bio;*;*;SCIB;db:SCIB AND ta_cluster:"Acta Bot. Bras.";1
2011-06-03 13:52:07;200.136.72.254;pt;local;bio;*;*;*;;1
2011-06-03 13:52:10;200.136.72.254;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-03 14:48:28;66.249.71.37;pt;local;bio;*;*;*;;1
2011-06-03 14:58:53;75.101.216.231;pt;local;bio;*;*;*;;1
2011-06-03 15:51:10;66.249.71.37;pt;local;bio;*;*;*;;1
2011-06-03 16:05:40;75.101.216.231;pt;local;bio;*;*;*;;1
2011-06-03 16:05:55;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-03 16:45:03;187.41.247.31;pt;local;bio;leishmaniose;*;*;;1
2011-06-03 16:46:26;187.41.247.31;pt;local;bio;leishmaniose visceral;*;SCIB;db:SCIB;1
2011-06-03 18:06:49;200.136.72.254;pt;local;bio;*;*;*;;1
