date;ip;lang;col;site;query;index;where;filter;from
2011-06-02 00:50:09;66.249.71.37;qwkilqgvraugpkn;local;bio;*;*;*;;1
2011-06-02 01:30:49;66.249.71.37;pt;local;bio;*;*;*;;1
2011-06-02 01:49:52;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-02 02:36:38;66.249.71.37;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-02 03:35:42;66.249.71.37;qwkilqgvraugpkn;local;bio;+id:("lil-13264049979");*;*;;1
2011-06-02 04:51:09;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-02 05:12:57;66.249.71.37;qwkilqgvraugpkn;local;bio;+id:("lil-13264049979");*;*;;1
2011-06-02 06:53:43;66.249.71.37;qwkilqgvraugpkn;local;bio;*;*;*;;1
2011-06-02 07:09:53;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-02 07:30:22;66.249.71.37;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-06-02 07:30:49;187.105.128.181;pt;local;http://217.218.225.2:2082/index.html?;*;*;*;;1
2011-06-02 08:13:11;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-02 10:25:19;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-02 10:25:23;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-02 10:26:53;201.19.104.24;pt;local;bio;brasil;*;*;;1
2011-06-02 10:39:14;189.111.106.7;pt;local;http://217.218.225.2:2082/index.html?;*;*;*;;1
2011-06-02 10:39:42;187.44.24.150;pt;local;bio;mecanismo de ação dos esteróides sexuais e sistema reprodutivo;*;*;;1
2011-06-02 10:50:11;200.151.125.131;pt;local;bio;Mamiferos;*;*;;1
2011-06-02 10:52:24;200.151.125.131;pt;local;bio;Mamiferos;*;ALL;;2
2011-06-02 11:35:21;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-06-02 11:35:28;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;2
2011-06-02 11:35:32;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;10
2011-06-02 11:35:38;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;11
2011-06-02 11:35:42;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;12
2011-06-02 11:35:43;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;19
2011-06-02 11:35:45;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;20
2011-06-02 11:35:48;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;19
2011-06-02 11:35:49;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;20
2011-06-02 11:35:54;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;21
2011-06-02 11:35:57;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;22
2011-06-02 11:35:59;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;29
2011-06-02 11:36:00;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;30
2011-06-02 11:36:03;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;29
2011-06-02 11:36:13;200.136.72.254;pt;local;bio;*;*;BHLB;db:BHLB;30
2011-06-02 11:36:24;66.249.71.37;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-06-02 11:37:17;66.249.71.37;ppufejihenzxjri;local;bio;*;*;*;;1
2011-06-02 11:37:20;200.136.72.254;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-06-02 11:37:24;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-02 11:37:40;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-02 11:37:43;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-02 11:37:50;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-02 11:38:04;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-02 11:38:22;66.249.71.37;pt;local;bio;Sua seleção;*;*;;1
2011-06-02 11:38:25;200.136.72.254;pt;local;bio;&;*;*;;1
2011-06-02 11:38:38;200.136.72.254;pt;local;bio;$;*;*;;1
2011-06-02 11:38:50;200.136.72.254;pt;local;bio;&$;*;ALL;;1
2011-06-02 11:38:55;200.136.72.254;pt;local;bio;&;*;ALL;;1
2011-06-02 11:38:55;200.136.72.254;pt;local;bio;&;*;ALL;;1
2011-06-02 11:39:01;200.136.72.254;pt;local;bio;$;*;ALL;;1
2011-06-02 11:39:30;200.136.72.254;pt;local;bio;$;*;*;;1
2011-06-02 11:40:01;200.136.72.254;pt;local;bio;*;*;*;;1
2011-06-02 11:40:22;200.136.72.254;pt;local;bio;*;*;ALL;;2
2011-06-02 11:40:26;200.136.72.254;pt;local;bio;*;*;ALL;;3
2011-06-02 11:40:27;200.136.72.254;pt;local;bio;*;*;ALL;;4
2011-06-02 11:40:28;200.136.72.254;pt;local;bio;*;*;ALL;;5
2011-06-02 11:40:30;200.136.72.254;pt;local;bio;*;*;ALL;;6
2011-06-02 11:40:31;200.136.72.254;pt;local;bio;*;*;ALL;;7
2011-06-02 11:40:33;200.136.72.254;pt;local;bio;*;*;ALL;;8
2011-06-02 11:40:36;200.136.72.254;pt;local;bio;*;*;ALL;;9
2011-06-02 11:54:36;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-02 13:19:49;187.4.114.232;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-06-02 14:58:33;209.131.41.49;pt;local;bio;*;*;*;;1
2011-06-02 15:54:18;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-02 15:54:21;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-02 16:32:52;66.249.71.37;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-02 16:54:28;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-02 16:54:54;201.18.153.125;pt;local;bio;*;*;*;;1
2011-06-02 18:13:01;209.131.41.48;pt;local;bio;*;*;*;;1
2011-06-02 18:56:11;189.26.198.175;pt;local;bio;liderança;*;*;;1
2011-06-02 18:56:20;189.26.198.175;pt;local;bio;liderança;*;ALL;;1
2011-06-02 18:56:20;189.26.198.175;pt;local;bio;*;*;*;;1
2011-06-02 18:56:36;189.26.198.175;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-02 18:56:36;189.26.198.175;pt;local;bio;*;*;*;;1
2011-06-02 18:57:40;189.26.198.175;pt;local;bio;*;*;*;;1
2011-06-02 18:58:26;189.26.198.175;pt;local;bio;*;*;*;;1
2011-06-02 18:58:50;189.26.198.175;pt;local;bio;*;*;*;;1
2011-06-02 18:59:33;189.26.198.175;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-06-02 18:59:33;189.26.198.175;pt;local;bio;*;*;*;;1
2011-06-02 19:06:36;187.63.225.99;pt;local;bio;Mamíferos e organização social;*;*;;1
2011-06-02 19:12:09;187.63.225.99;pt;local;bio;organização social mamíferos;*;*;;1
2011-06-02 19:18:46;201.86.70.114;pt;local;bio;doenças monogenitas;*;*;;1
2011-06-02 19:18:49;201.86.70.114;pt;local;bio;doenças monogenitas;*;*;;1
2011-06-02 19:18:53;201.86.70.114;pt;local;bio;doenças monogenitas;*;*;;1
2011-06-02 19:21:02;187.63.225.99;pt;local;bio;mamíferos;*;*;;1
2011-06-02 21:22:41;209.131.41.49;pt;local;bio;*;*;*;;1
