date;ip;lang;col;site;query;index;where;filter;from
2010-12-30 00:39:55;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 00:43:48;66.249.71.52;pt;local;bio;*;*;*;;1
2010-12-30 00:49:20;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 01:54:19;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 02:03:53;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 03:11:10;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 03:13:39;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-30 03:41:05;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 03:47:26;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 03:52:16;190.137.75.124;es;local;bio;Ecología en Bolivia ;*;*;;1
2010-12-30 04:08:36;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 04:51:28;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 05:30:41;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 06:16:42;66.249.71.52;pt;local;bio;+id:("lil-18474058070");*;*;;1
2010-12-30 06:44:44;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 08:20:49;200.195.66.68;pt;local;bio;speothos venaticus;*;*;;1
2010-12-30 08:21:00;200.195.66.68;pt;local;bio;speothos venaticus;*;ALL;;1
2010-12-30 11:38:10;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-30 12:07:41;187.104.192.79;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-30 12:07:55;187.104.192.79;pt;local;bio;amaranthaceae;*;SCIB;db:SCIB;1
2010-12-30 12:08:26;187.104.192.79;pt;local;bio;amaranthaceae;ti;SCIB;db:SCIB;1
2010-12-30 12:19:31;187.104.192.79;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 13:48:01;189.31.90.94;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-30 13:48:29;189.31.90.94;pt;local;bio;flora;*;BHLB;db:BHLB;1
2010-12-30 13:48:42;189.31.90.94;pt;local;bio;flora;*;BHLB;db:BHLB;2
2010-12-30 13:48:59;189.31.90.94;pt;local;bio;flora;*;BHLB;db:BHLB;3
2010-12-30 13:49:08;189.31.90.94;pt;local;bio;flora;*;BHLB;db:BHLB;4
2010-12-30 13:49:14;189.31.90.94;pt;local;bio;flora;*;BHLB;db:BHLB;5
2010-12-30 13:49:22;189.31.90.94;pt;local;bio;flora;*;BHLB;db:BHLB;6
2010-12-30 13:49:27;189.31.90.94;pt;local;bio;flora;*;BHLB;db:BHLB;7
2010-12-30 13:49:40;189.31.90.94;pt;local;bio;flora;*;BHLB;db:BHLB;2
2010-12-30 14:38:07;66.249.71.52;pt;local;bio;+id:("lil-18474058088");*;*;;1
2010-12-30 15:04:36;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-30 15:12:20;66.249.71.52;pt;local;bio;*;*;*;;1
2010-12-30 16:27:11;200.160.7.141;pt;local;bio;*;*;*;;1
2010-12-30 16:27:31;200.160.7.141;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-30 16:28:21;200.160.7.141;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-30 17:54:04;200.160.7.141;pt;local;bio;*;*;*;;1
2010-12-30 17:54:29;200.160.7.141;pt;local;bio;*;*;*;;1
2010-12-30 17:54:51;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:55:26;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:55:42;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:55:52;200.160.7.141;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-30 17:56:08;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:56:25;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:56:34;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:56:43;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:57:31;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:57:40;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:57:47;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:58:27;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:58:34;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:58:45;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:58:48;200.160.7.141;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-30 17:58:52;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 17:59:06;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 19:01:49;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-30 19:24:43;200.160.7.141;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-30 19:25:13;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200001");*;*;;1
2010-12-30 19:25:29;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200002");*;*;;1
2010-12-30 19:25:43;200.160.7.141;pt;local;bio;+id:("lil-9030037224");*;*;;1
2010-12-30 19:25:56;200.160.7.141;pt;local;bio;+id:("lil-9030037232");*;*;;1
2010-12-30 19:26:07;200.160.7.141;pt;local;bio;+id:("lil-9030037224");*;*;;1
2010-12-30 19:26:19;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200008");*;*;;1
2010-12-30 19:26:30;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000100001");*;*;;1
2010-12-30 19:26:41;200.160.7.141;pt;local;bio;+id:("lil-13264049879");*;*;;1
2010-12-30 19:26:51;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000100002");*;*;;1
2010-12-30 19:27:03;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200006");*;*;;1
2010-12-30 19:27:12;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200001");*;*;;1
2010-12-30 19:27:22;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200004");*;*;;1
2010-12-30 19:27:31;200.160.7.141;pt;local;bio;+id:("lil-13264049879");*;*;;1
2010-12-30 19:27:41;200.160.7.141;pt;local;bio;+id:("lil-9030037195");*;*;;1
2010-12-30 19:27:51;200.160.7.141;pt;local;bio;+id:("lil-9030037197");*;*;;1
2010-12-30 19:28:00;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000100001");*;*;;1
2010-12-30 19:28:07;200.160.7.141;pt;local;bio;+id:("scl-S0074-02761909000200007");*;*;;1
