date;ip;lang;col;site;query;index;where;filter;from
2010-12-31 00:25:21;66.249.71.52;pt;local;bio;*;*;*;;1
2010-12-31 00:52:09;66.249.71.52;pt;local;bio;*;*;*;;1
2010-12-31 00:59:26;200.160.7.141;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 01:14:20;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 02:16:20;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 02:29:22;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 03:00:53;200.160.7.141;pt;local;bio;+id:("lil-18474058040");*;*;;1
2010-12-31 03:01:18;200.160.7.141;pt;local;bio;+id:("lil-18474058040");*;*;;1
2010-12-31 03:02:56;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 03:14:38;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 03:24:01;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-31 03:45:01;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-31 06:01:08;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 06:05:40;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 06:16:19;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 06:38:12;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 06:38:47;66.249.71.52;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-31 08:44:57;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 08:49:00;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 10:13:58;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 11:48:47;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-31 11:52:44;66.249.71.52;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-31 12:33:43;66.249.71.52;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-31 13:16:11;66.249.71.52;pt;local;bio;*;*;*;;1
2010-12-31 14:37:15;187.5.98.234;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-31 14:48:21;201.66.100.52;pt;local;bio;campos gerais;*;*;;1
2010-12-31 14:49:17;201.66.100.52;pt;local;bio;campos gerais;*;ALL;;2
2010-12-31 14:49:58;201.66.100.52;pt;local;bio;campos gerais;*;ALL;;3
2010-12-31 14:50:20;201.66.100.52;pt;local;bio;campos gerais;*;ALL;;4
2010-12-31 14:50:39;201.66.100.52;pt;local;bio;campos gerais;*;ALL;;5
2010-12-31 14:50:59;201.66.100.52;pt;local;bio;campos gerais;*;ALL;;6
2010-12-31 14:51:25;201.66.100.52;pt;local;bio;araucaria;*;ALL;;1
2010-12-31 15:21:00;201.66.100.52;pt;local;bio;unidades de conservação;*;*;;1
2010-12-31 15:22:58;66.249.71.52;pt;local;bio;+id:("lil-9030037232");*;*;;1
2010-12-31 15:30:31;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 16:13:05;66.249.71.52;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-31 16:29:43;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 16:33:50;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 16:40:47;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 18:18:38;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 19:00:34;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 19:32:16;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 19:46:13;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 20:15:12;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 22:40:09;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 22:58:53;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 23:17:45;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 23:36:02;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
2010-12-31 23:58:39;66.249.71.52;pt;local;bio;Sua seleção;*;*;;1
