date;ip;lang;col;site;query;index;where;filter;from
2011-04-25 00:20:31;66.249.71.43;pt;local;bio;Sua seleção;*;*;;1
2011-04-25 00:27:41;66.249.71.43;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-04-25 01:09:05;209.131.41.48;pt;local;bio;*;*;*;;1
2011-04-25 03:03:25;66.249.71.43;ppufejihenzxjri;local;bio;+id:("lil-9030037220");*;*;;1
2011-04-25 05:12:48;209.131.41.48;pt;local;bio;*;*;*;;1
2011-04-25 07:09:00;66.249.71.43;pt;local;bio;Sua seleção;*;*;;1
2011-04-25 08:33:13;209.131.41.48;pt;local;bio;*;*;*;;1
2011-04-25 10:20:08;189.21.130.1;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-04-25 10:39:25;187.90.100.19;pt;local;bio;anura;*;*;;1
2011-04-25 12:40:37;209.131.41.48;pt;local;bio;*;*;*;;1
2011-04-25 13:24:43;187.119.159.178;pt;local;bio;*;*;*;;1
2011-04-25 14:13:26;66.249.71.43;pt;local;bio;*;*;*;;1
2011-04-25 17:24:34;209.131.41.48;pt;local;bio;*;*;*;;1
2011-04-25 17:47:22;209.131.41.48;pt;local;bio;*;*;*;;1
2011-04-25 17:47:32;209.131.41.49;pt;local;bio;*;*;*;;1
2011-04-25 18:16:14;200.143.198.131;pt;local;bio;ants;*;*;;1
2011-04-25 18:55:57;66.249.71.43;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-04-25 21:48:56;209.131.41.49;pt;local;bio;*;*;*;;1
