date;ip;lang;col;site;query;index;where;filter;from
2010-11-24 13:41:55;187.105.193.182;pt;local;bio;*;*;ALL;la:"Pt";1
2010-11-24 13:42:13;187.105.193.182;pt;local;bio;*;*;ALL;la:"Pt" AND type:"article";1
2010-11-24 13:42:16;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:20:15;187.105.193.182;pt;local;bio;teste;*;*;;1
2010-11-24 15:20:22;187.105.193.182;pt;local;bio;dengue;*;*;;1
2010-11-24 15:20:28;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:20:56;187.105.193.182;pt;local;bio;agrostologia;*;*;;1
2010-11-24 15:23:13;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:24:44;187.105.193.182;pt;local;bio;botanica;*;*;;1
2010-11-24 15:24:55;187.105.193.182;pt;local;bio;botanica;*;*;;1
2010-11-24 15:25:03;187.105.193.182;pt;local;bio;botanica;*;*;;1
2010-11-24 15:27:15;187.105.193.182;pt;local;bio;aprostologia;*;*;;1
2010-11-24 15:27:19;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:28:47;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:29:07;187.105.193.182;pt;local;bio;aprostologia;*;*;;1
2010-11-24 15:29:10;187.105.193.182;pt;local;bio;aprostologia;*;*;;1
2010-11-24 15:29:12;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:29:22;187.105.193.182;pt;local;bio;agrostologia;*;*;;1
2010-11-24 15:29:49;187.105.193.182;pt;local;bio;agrospologia;*;*;;1
2010-11-24 15:36:09;187.105.193.182;pt;local;bio;agrostologia;*;*;;1
2010-11-24 15:38:16;187.105.193.182;pt;local;bio;"bhl brasil";*;*;;1
2010-11-24 15:38:38;187.105.193.182;pt;local;bio;"bhl brasil";*;ALL;;1
2010-11-24 15:38:38;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:38:50;187.105.193.182;pt;local;bio;"bhl brasil";*;ALL;;1
2010-11-24 15:38:56;187.105.193.182;pt;local;bio;bhl brasil;*;ALL;;1
2010-11-24 15:38:56;187.105.193.182;pt;local;bio;bhl brasil;*;ALL;;1
2010-11-24 15:39:17;187.105.193.182;pt;local;bio;"bhl brasil";*;ALL;;1
2010-11-24 15:39:28;187.105.193.182;pt;local;bio;bhl brasil;*;ALL;;1
2010-11-24 15:39:32;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:39:47;187.105.193.182;pt;local;bio;agrostologia;*;ALL;;1
2010-11-24 15:39:58;187.105.193.182;pt;local;bio;Sua seleção;*;ALL;;1
2010-11-24 15:40:13;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:40:49;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:41:00;187.105.193.182;pt;local;bio;+id:("lil-15660052988");*;*;;1
2010-11-24 15:41:48;187.105.193.182;pt;local;bio;bhl scielo;*;ALL;;1
2010-11-24 15:41:51;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:45:32;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:45:40;187.105.193.182;pt;local;bio;bhl brasil;*;ALL;;1
2010-11-24 15:45:48;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:46:54;187.105.193.182;pt;local;bio;agrostologia;*;BHL;bd:BHL;1
2010-11-24 15:46:57;187.105.193.182;pt;local;bio;agrostologia;*;BHL;bd:BHL;1
2010-11-24 15:47:06;187.105.193.182;pt;local;bio;agrostologia;*;BHL;bd:BHL;1
2010-11-24 15:47:13;187.105.193.182;pt;local;bio;*:*;*;BHL;bd:BHL;1
2010-11-24 15:47:16;187.105.193.182;pt;local;bio;*;*;BHL;bd:BHL;1
2010-11-24 15:47:21;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 15:47:27;187.105.193.182;pt;local;bio;Sua seleção;*;ALL;;1
2010-11-24 15:47:30;187.105.193.182;pt;local;bio;+id:("lil-15660052988");*;*;;1
2010-11-24 15:47:51;187.105.193.182;pt;local;bio;%2tw:agrostologia;*;*;;1
2010-11-24 15:47:53;187.105.193.182;pt;local;bio;%2tw:agrostologia;*;*;;1
2010-11-24 15:48:06;187.105.193.182;pt;local;bio;%2tw:bhl brasil;*;*;;1
2010-11-24 15:48:18;187.105.193.182;pt;local;bio;tw:bhl brasil;*;*;;1
2010-11-24 15:49:13;187.105.193.182;pt;local;bio;tw:Ornithological;*;BHL;bd:BHL;1
2010-11-24 15:49:17;187.105.193.182;pt;local;bio;Ornithological;*;BHL;bd:BHL;1
2010-11-24 15:49:24;187.105.193.182;pt;local;bio;tw:Ornithological;*;ALL;;1
2010-11-24 16:02:59;187.105.193.182;pt;local;bio;*;*;ALL;;1
2010-11-24 17:49:46;187.105.193.182;pt;local;bio;agrostologia;*;*;;1
2010-11-24 17:50:50;187.105.193.182;pt;local;bio;agrostologia;*;ALL;;1
2010-11-24 17:50:51;187.105.193.182;pt;local;bio;*;*;*;;1
2010-11-24 17:51:38;187.105.193.182;pt;local;bio;*;*;*;;1
