date;ip;lang;col;site;query;index;where;filter;from
2011-02-23 00:11:36;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-23 02:11:55;66.249.71.52;pt;local;bio;+id:("lil-18474058040");*;*;;1
2011-02-23 02:17:31;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-23 04:53:36;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-23 07:30:20;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-23 08:24:20;187.44.29.25;pt;local;bio;fitoquimica;*;*;;1
2011-02-23 09:00:00;66.249.71.52;yiewkcbsz;local;bio;*;*;*;;1
2011-02-23 10:12:11;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-23 11:04:03;187.111.225.38;pt;local;bio;conservação;*;*;;1
2011-02-23 12:01:49;187.8.216.122;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-02-23 13:22:16;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-23 13:42:49;201.89.29.107;pt;local;bio;impactos ambientias;*;*;;1
2011-02-23 13:43:01;201.89.29.107;pt;local;bio;impactos ambientais;*;*;;1
2011-02-23 13:45:04;201.89.29.107;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-02-23 14:48:19;201.28.39.229;pt;local;bio;genipa americana;*;*;;1
2011-02-23 14:48:32;201.28.39.229;pt;local;bio;genipa americana;*;ALL;;1
2011-02-23 14:50:28;201.28.39.229;pt;local;bio;Hypericum connatum;*;ALL;;1
2011-02-23 15:03:18;187.117.141.157;pt;local;bio;anura;*;*;;1
2011-02-23 15:04:47;187.117.141.157;pt;local;bio;anurans;*;ALL;;1
2011-02-23 15:05:34;187.117.141.157;pt;local;bio;delta;*;ALL;;1
2011-02-23 15:05:45;187.117.141.157;pt;local;bio;delta;*;ALL;;1
2011-02-23 15:05:46;187.117.141.157;pt;local;bio;delta;*;ALL;;1
2011-02-23 15:06:00;187.117.141.157;pt;local;bio;Piauí;*;ALL;;1
2011-02-23 15:06:08;187.117.141.157;pt;local;bio;*;*;*;;1
2011-02-23 15:10:10;187.117.141.157;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-02-23 15:10:57;187.117.141.157;pt;local;bio;são paulo;*;*;;1
2011-02-23 15:11:12;187.117.141.157;pt;local;bio;amazonia;*;*;;1
2011-02-23 15:11:28;187.117.141.157;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-02-23 15:11:37;187.117.141.157;pt;local;bio;delta;*;SCIB;db:SCIB;1
2011-02-23 15:12:00;187.117.141.157;pt;local;bio;delta;kw;BHLB;db:BHLB;1
2011-02-23 16:24:19;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-23 17:04:11;66.249.71.52;yiewkcbsz;local;bio;+id:("lil-13264049979");*;*;;1
2011-02-23 18:54:55;66.249.71.52;qwkilqgvraugpkn;local;bio;*;*;*;;1
2011-02-23 19:04:04;189.93.218.163;pt;local;bio;Aerobic biodegradation of two commercial naphthenic acids preparations;*;*;;1
2011-02-23 19:27:08;212.227.136.205;pt;local;bio;*;*;BHLB;db:BHLB;1
2011-02-23 19:27:09;212.227.136.205;pt;local;bio;*;*;BHLG;db:BHLG;1
2011-02-23 19:27:11;212.227.136.205;pt;local;bio;*;*;SCIB;db:SCIB;1
2011-02-23 19:33:51;209.131.41.49;pt;local;bio;*;*;*;;1
2011-02-23 21:02:15;132.247.241.252;es;local;bio;diversidad de bacterias;*;*;;1
2011-02-23 21:02:48;132.247.241.252;es;local;bio;diversidad de bacterias;*;ALL;;1
2011-02-23 22:05:15;187.16.226.12;pt;local;bio;Neodiplostomum;*;*;;1
2011-02-23 22:05:46;187.16.226.12;pt;local;bio;Neodiplostomum;ti;ALL;;1
2011-02-23 22:17:06;209.131.41.48;pt;local;bio;*;*;*;;1
2011-02-23 22:26:07;201.50.77.127;pt;local;bio;abelhas;*;*;;1
2011-02-23 22:26:17;201.50.77.127;pt;local;bio;*;*;*;;1
2011-02-23 22:26:18;201.50.77.127;pt;local;bio;aves;*;ALL;;1
