date;ip;lang;col;site;query;index;where;filter;from
2010-12-06 00:29:28;201.83.133.188;pt;local;bio;datovo;*;*;;1
2010-12-06 00:34:10;189.4.125.94;pt;local;bio;Ubatuba;*;ALL;;10
2010-12-06 00:34:19;189.4.125.94;pt;local;bio;Ubatuba;*;ALL;;7
2010-12-06 00:42:43;187.116.220.6;pt;local;bio;primatas;*;*;;1
2010-12-06 01:12:07;200.204.158.125;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-06 02:10:12;187.10.214.117;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-06 02:14:32;187.10.214.117;pt;local;bio;*;*;SCIB;db:SCIB;2
2010-12-06 03:47:28;189.97.87.47;pt;local;bio;MANDACARÚ;*;*;;1
2010-12-06 04:35:53;210.212.172.131;pt;local;bio;Vigna;*;*;;1
2010-12-06 04:39:13;210.212.172.131;pt;local;bio;Boissiera;*;*;;1
2010-12-06 04:44:06;72.14.202.84;pt;local;bio;*;*;BHLG;db:BHLG;1
2010-12-06 04:45:10;74.125.152.86;pt;local;bio;*;*;*;;1
2010-12-06 04:46:32;74.125.74.195;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-06 04:47:00;74.125.152.83;pt;local;bio;*;*;SCIB;db:SCIB;1
2010-12-06 05:24:10;66.249.71.37;pt;local;bio;+id:("lil-9030037111");*;*;;1
2010-12-06 06:18:09;189.27.69.159;pt;local;bio;*;*;BHLB;db:BHLB;1
2010-12-06 06:18:19;189.27.69.159;pt;local;bio;*;*;BHLB;db:BHLB AND year_cluster:"1876";1
2010-12-06 06:18:42;189.27.69.159;pt;local;bio;*;*;BHLB;db:BHLB AND year_cluster:"1876";2
2010-12-06 06:19:05;189.27.69.159;pt;local;bio;*;*;BHLB;db:BHLB AND year_cluster:"1876" AND year_cluster:"1876";1
2010-12-06 06:19:45;189.27.69.159;pt;local;bio;*;*;BHLB;db:BHLB AND year_cluster:"1876" AND year_cluster:"1876" AND year_cluster:"1876";1
2010-12-06 06:19:52;189.27.69.159;pt;local;bio;*;*;*;;1
2010-12-06 06:20:08;189.27.69.159;pt;local;bio;*;*;ALL;year_cluster:"1888";1
2010-12-06 06:20:27;189.27.69.159;pt;local;bio;*;*;ALL;year_cluster:"1888";2
2010-12-06 06:20:41;189.27.69.159;pt;local;bio;*;*;ALL;year_cluster:"1888";3
2010-12-06 07:51:40;189.0.13.130;pt;local;bio;fauna região bragantina;*;*;;1
2010-12-06 07:52:43;189.0.13.130;pt;local;bio;fauna campinas;*;*;;1
